	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
1105	Australia/NSW1237/2020	EPI_ISL_740868	South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al
1107	Australia/NSW1239/2020	EPI_ISL_740870	South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al
1198	Australia/NSW1320/2020	EPI_ISL_767886	South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al
1259	Australia/NSW1377/2020	EPI_ISL_768601	South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al
1331	Australia/NSW1457/2020	EPI_ISL_845793	South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al
1333	Australia/NSW1459/2020	EPI_ISL_845795	South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al
1639	Australia/NSW2429/2020	EPI_ISL_527014	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
1731	Australia/NSW2633/2020	EPI_ISL_678327	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
1732	Australia/NSW2634/2020	EPI_ISL_678328	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
1927	Australia/NSW3629/2020	EPI_ISL_717702	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
1932	Australia/NSW3639/2020	EPI_ISL_717706	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
2888	Australia/QLD1491/2021	EPI_ISL_849752	unknown	PHV-FSS	Son Nguyen et al. et al
2890	Australia/QLD1498/2021	EPI_ISL_849754	unknown	PHV-FSS	Son Nguyen et al. et al
2911	Australia/QLD1542/2021	EPI_ISL_944748	unknown	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al. et al
