	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
18911	Austria/CeMM1340/2020	EPI_ISL_853751	Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
22560	Belgium/ULG-10446/2020	EPI_ISL_581622	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
22715	Belgium/ULG-10603/2020	EPI_ISL_626248	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
22724	Belgium/ULG-10612/2020	EPI_ISL_626247	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
22734	Belgium/ULG-10622/2020	EPI_ISL_626236	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
22867	Belgium/ULG-10755/2020	EPI_ISL_641597	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
23068	Belgium/ULG-10956/2020	EPI_ISL_707735	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
23088	Belgium/ULG-10976/2020	EPI_ISL_707722	Department of Clinical Microbiology	GIGA Medical Genomics	Keith Durkin et al
24844	Belgium/rega-09181056/2020	EPI_ISL_734998	UZ Leuven, National Reference Laboratory for Coronaviruses, Laboratory Medicine, Leuven, Belgium	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
50538	Denmark/DCGC-11976/2020	EPI_ISL_671234	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium et al
50551	Denmark/DCGC-11988/2020	EPI_ISL_671237	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium et al
